type,status,emoji
vegetarian_restaurant,Eating at favorite restaurant,🍽️
vietnamese_restaurant,Eating at favorite restaurant,🍽️
wine_bar,Eating at favorite restaurant,🍽️
school_district,School,🏫
dental_clinic,Dentist,🦷
dentist,Dentist,🦷
doctor,Hospital,🏥
drugstore,Shopping,🛍️
hospital,Hospital,🏥
massage,Medical/Selfcare,💆‍♀️
medical_lab,Medical/Shopping,🛍️
physiotherapist,Medical/Selfcare,💆‍♀️
sauna,Sauna,🧖‍♀️
skin_care_clinic,Selfcare,💆‍♀️
spa,Selfcare,💆‍♀️
tanning_studio,Selfcare,💆‍♀️
wellness_center,Selfcare,💆‍♀️
yoga_studio,Selfcare,💆‍♀️
budget_japanese_inn,Hotel,🏨
campground,Camping,🏕️
camping_cabin,Camping,🏕️
cottage,Hotel,🏨
extended_stay_hotel,Hotel,🏨
hotel,Hotel,🏨
inn,Hotel,🏨
japanese_inn,Hotel,🏨
lodging,Hotel,🏨
resort_hotel,Hotel,🏨
beach,Leisure/Relaxing at beach,🏖️
church,Religious Activity,🙏
hindu_temple,Religious Activity,🙏
mosque,Religious Activity,🙏
synagogue,Religious Activity,🙏
barber_shop,Selfcare,💆‍♀️
beautician,Selfcare,💆‍♀️
beauty_salon,Selfcare,💆‍♀️
child_care_agency,Child care,👶
hair_care,Selfcare,💆‍♀️
hair_salon,Selfcare,💆‍♀️
laundry,Laundry,🧺
nail_salon,Selfcare,💆‍♀️
asian_grocery_store *,Grocery Shopping,🛒
book_store,Book Store,📚
butcher_shop,Grocery Shopping,🛒
clothing_store,Shopping,🛍️
convenience_store,Convenience Store,🏪
department_store,Shopping,🛍️
discount_store,Shopping,🛍️
electronics_store,Shopping,🛍️
food_store,Grocery Shopping,🛒
furniture_store,Shopping,🛍️
gift_shop,Shopping,🛍️
grocery_store,Grocery Shopping,🛒
home_goods_store,Shopping,🛍️
home_improvement_store,Shopping,🛍️
market,Shopping,🛍️
shopping_mall,Shopping,🛍️
sporting_goods_store,Shopping,🛍️
store,Shopping,🛍️
supermarket,Grocery Shopping,🛒
warehouse_store,Shopping,🛍️
arena,Sports,🏃‍♀️
athletic_field,Sports,🏃‍♀️
fishing_pond,Leisure,🚶‍♀️
fitness_center,Sports,🏃‍♀️
golf_course,Golf,⛳
gym,Gym,💪
ice_skating_rink,Ice Skating,⛸️
playground,Playing,🤸
ski_resort,Skiing,⛷️
sports_activity_location,Sports,🏃‍♀️
sports_club,Sports,🏃‍♀️
sports_coaching,Sports,🏃‍♀️
sports_complex,Sports,🏃‍♀️
stadium,Sports,🏃‍♀️
swimming_pool,Swimming,🏊‍♀️
airport,$name,✈️
bus_station,Commuting,🚌
bus_stop,Commuting,🚌
ferry_terminal,Commuting,🚌
international_airport,$name,✈️
light_rail_station,$name,🚉
park_and_ride,Commuting,🚌
subway_station,$name,🚉
taxi_stand,Commuting,🚌
train_station,$name,🚉
transit_station,$name,🚉 
